Date,Lo 10,Decile 2,Decile 3,Decile 4,Decile 5,Decile 6,Decile 7,Decile 8,Decile 9,Hi 10
9/1/1978,1.027262545,1.030736205,1.029005765,1.032250942,1.030672356,1.034116885,1.034455998,1.036602109,1.040527218,1.047826931
10/1/1978,1.026622766,1.030191976,1.028543536,1.031695178,1.030090233,1.03343685,1.03369588,1.035802267,1.039613635,1.046743897
11/1/1978,1.026623177,1.030269446,1.028632814,1.031789269,1.030206015,1.033582771,1.033889801,1.036011499,1.039871875,1.047114863
12/1/1978,1.026635907,1.030293761,1.028622527,1.031765331,1.030254228,1.033641479,1.033959692,1.036072417,1.039944666,1.047224182
1/1/1979,1.027142244,1.030653951,1.0289953,1.032112417,1.0305938,1.033930898,1.034315374,1.036432556,1.040330694,1.04765899
2/1/1979,1.027089654,1.030560368,1.028937676,1.032040582,1.03051465,1.033860178,1.034250419,1.036366638,1.040244971,1.047513994
3/1/1979,1.027462282,1.030837383,1.029210962,1.032284556,1.030776401,1.03417199,1.034612407,1.036721905,1.040645257,1.047935513
4/1/1979,1.027618867,1.030883977,1.029283419,1.032355165,1.030896384,1.034238177,1.034740699,1.036808575,1.040767221,1.04808935
5/1/1979,1.027563376,1.030854699,1.029256246,1.032326259,1.0308836,1.0342419,1.034651711,1.036785765,1.04072559,1.04803988
6/1/1979,1.027785741,1.031053861,1.029440688,1.032545112,1.031098024,1.034425168,1.034902511,1.037018835,1.040997844,1.048296021
7/1/1979,1.027867964,1.031138407,1.029556397,1.0326653,1.03122588,1.034524473,1.035015108,1.037104285,1.041071963,1.048366467
8/1/1979,1.02821086,1.031493943,1.029815846,1.032959403,1.031506786,1.03480876,1.035260614,1.037415001,1.041423429,1.048719137
9/1/1979,1.028112152,1.03145846,1.029777537,1.032993697,1.031465526,1.034781441,1.035257301,1.037415416,1.041448423,1.048816039
10/1/1979,1.027647857,1.031045877,1.029396519,1.032647438,1.031082233,1.034413887,1.034889577,1.03705896,1.041056422,1.048429655
11/1/1979,1.027760487,1.031162591,1.029547222,1.032820097,1.031296286,1.034687799,1.035190109,1.037387086,1.041523648,1.049004614
12/1/1979,1.02798125,1.031364287,1.029699595,1.032975433,1.031472844,1.034931572,1.035481619,1.037688343,1.041876933,1.049499324
1/1/1980,1.02841588,1.03171495,1.029940133,1.033256402,1.031731537,1.035292142,1.035904095,1.038173566,1.042395787,1.05007487
2/1/1980,1.028356232,1.031618382,1.029852794,1.033134064,1.031631666,1.035163766,1.035812521,1.038149896,1.042402459,1.05021978
